      w1[rad/s]       w2[rad/s] beta1[deg] beta2[deg] DOF MOD(QTF)/rho/g PHASE(QTF)[deg] Re(QTF)/rho/g Im(QTF)/rho/g
       1.193        0.188        0.000        0.000  1  0.2061364E+02 -0.1773771E+03 -0.2059205E+02 -0.9433191E+00
       1.193        0.251        0.000        0.000  1  0.1635045E+02  0.6155521E+02  0.7787910E+01  0.1437656E+02
       1.193        0.314        0.000        0.000  1  0.1646006E+01  0.1114490E+03 -0.6019001E+00  0.1532009E+01
       1.193        0.377        0.000        0.000  1  0.6904989E+01  0.1752183E+03 -0.6880957E+01  0.5755925E+00
       1.193        0.440        0.000        0.000  1  0.1181369E+02 -0.1736231E+03 -0.1174060E+02 -0.1312125E+01
       1.193        0.502        0.000        0.000  1  0.1346374E+02  0.1715440E+03 -0.1331738E+02  0.1979835E+01
       1.193        0.565        0.000        0.000  1  0.1461890E+02  0.1631019E+03 -0.1398770E+02  0.4249282E+01
       1.193        0.628        0.000        0.000  1  0.1482099E+02  0.1691674E+03 -0.1455689E+02  0.2785452E+01
       1.193        0.691        0.000        0.000  1  0.1706882E+02 -0.1664809E+03 -0.1659588E+02 -0.3990180E+01
       1.193        0.754        0.000        0.000  1  0.2021072E+02 -0.1254055E+03 -0.1170928E+02 -0.1647319E+02
       1.193        0.816        0.000        0.000  1  0.3410440E+02 -0.1107910E+03 -0.1210571E+02 -0.3188356E+02
       1.193        0.879        0.000        0.000  1  0.4222178E+02 -0.9249152E+02 -0.1835455E+01 -0.4218187E+02
       1.193        0.942        0.000        0.000  1  0.3662114E+02 -0.8478799E+02  0.3326713E+01 -0.3646973E+02
       1.193        1.005        0.000        0.000  1  0.3215845E+02 -0.7920191E+02  0.6024836E+01 -0.3158904E+02
       1.193        1.068        0.000        0.000  1  0.2504770E+02 -0.6147775E+02  0.1196027E+02 -0.2200770E+02
       1.193        1.130        0.000        0.000  1  0.1597365E+02 -0.4690074E+02  0.1091423E+02 -0.1166350E+02
       1.193        1.193        0.000        0.000  1  0.1249443E+02 -0.2676705E+02  0.1115559E+02 -0.5627045E+01
       1.256        0.063        0.000        0.000  1  0.6499201E+01 -0.1618362E+03 -0.6175342E+01 -0.2026021E+01
       1.256        0.126        0.000        0.000  1  0.6916321E+01  0.1137607E+03 -0.2786703E+01  0.6330070E+01
       1.256        0.188        0.000        0.000  1  0.1518875E+02 -0.1776618E+03 -0.1517610E+02 -0.6196762E+00
       1.256        0.251        0.000        0.000  1  0.1565150E+02  0.1725061E+03 -0.1551782E+02  0.2041284E+01
       1.256        0.314        0.000        0.000  1  0.4087270E+01 -0.4198047E+02  0.3038366E+01 -0.2733882E+01
       1.256        0.377        0.000        0.000  1  0.3720173E+01 -0.1091497E+03 -0.1220354E+01 -0.3514317E+01
       1.256        0.440        0.000        0.000  1  0.8423895E+01 -0.1545448E+03 -0.7606120E+01 -0.3620628E+01
       1.256        0.502        0.000        0.000  1  0.8311489E+01 -0.1440585E+03 -0.6729118E+01 -0.4878506E+01
       1.256        0.565        0.000        0.000  1  0.9259302E+01 -0.1451159E+03 -0.7595506E+01 -0.5295562E+01
       1.256        0.628        0.000        0.000  1  0.1682088E+02 -0.1491174E+03 -0.1443604E+02 -0.8633821E+01
       1.256        0.691        0.000        0.000  1  0.2548008E+02 -0.1144609E+03 -0.1055060E+02 -0.2319309E+02
       1.256        0.754        0.000        0.000  1  0.3280774E+02 -0.1146828E+03 -0.1370033E+02 -0.2981021E+02
       1.256        0.816        0.000        0.000  1  0.4626576E+02 -0.1043679E+03 -0.1148071E+02 -0.4481868E+02
       1.256        0.879        0.000        0.000  1  0.3817425E+02 -0.9094075E+02 -0.6267593E+00 -0.3816911E+02
       1.256        0.942        0.000        0.000  1  0.3292262E+02 -0.8330296E+02  0.3839412E+01 -0.3269798E+02
       1.256        1.005        0.000        0.000  1  0.2543389E+02 -0.6878323E+02  0.9204460E+01 -0.2370993E+02
       1.256        1.068        0.000        0.000  1  0.2080230E+02 -0.4393895E+02  0.1497931E+02 -0.1443454E+02
       1.256        1.130        0.000        0.000  1  0.1884721E+02 -0.9558161E+01  0.1858557E+02 -0.3129555E+01
       1.256        1.193        0.000        0.000  1  0.1814821E+02  0.1478469E+02  0.1754735E+02  0.4631195E+01
       1.256        1.256        0.000        0.000  1  0.2176678E+02  0.2109714E+02  0.2030779E+02  0.7834958E+01
       1.319        0.063        0.000        0.000  1  0.2900122E+02  0.8249401E+02  0.3788421E+01  0.2875272E+02
       1.319        0.126        0.000        0.000  1  0.1934667E+02  0.1459153E+03 -0.1602311E+02  0.1084222E+02
       1.319        0.188        0.000        0.000  1  0.4789289E+01 -0.1114245E+03 -0.1749411E+01 -0.4458346E+01
       1.319        0.251        0.000        0.000  1  0.1132961E+02 -0.1759266E+03 -0.1130099E+02 -0.8047908E+00
       1.319        0.314        0.000        0.000  1  0.4396994E+01  0.3299562E+02  0.3687812E+01  0.2394493E+01
       1.319        0.377        0.000        0.000  1  0.7835841E+01 -0.1753776E+03 -0.7810355E+01 -0.6314779E+00
       1.319        0.440        0.000        0.000  1  0.9340276E+01 -0.1146511E+03 -0.3895745E+01 -0.8489047E+01
       1.319        0.502        0.000        0.000  1  0.1210516E+02 -0.9245018E+02 -0.5175058E+00 -0.1209410E+02
       1.319        0.565        0.000        0.000  1  0.1524186E+02 -0.1101939E+03 -0.5261462E+01 -0.1430494E+02
       1.319        0.628        0.000        0.000  1  0.3143625E+02 -0.1013440E+03 -0.6183488E+01 -0.3082211E+02
       1.319        0.691        0.000        0.000  1  0.4256038E+02 -0.9948589E+02 -0.7014145E+01 -0.4197842E+02
       1.319        0.754        0.000        0.000  1  0.5761179E+02 -0.8873540E+02  0.1271463E+01 -0.5759775E+02
       1.319        0.816        0.000        0.000  1  0.3298203E+02 -0.7353359E+02  0.9348861E+01 -0.3162930E+02
       1.319        0.879        0.000        0.000  1  0.2935102E+02 -0.7471559E+02  0.7737237E+01 -0.2831285E+02
       1.319        0.942        0.000        0.000  1  0.2671328E+02 -0.6192115E+02  0.1257357E+02 -0.2356915E+02
       1.319        1.005        0.000        0.000  1  0.2106427E+02 -0.3878402E+02  0.1641987E+02 -0.1319437E+02
       1.319        1.068        0.000        0.000  1  0.1753424E+02 -0.4701304E+01  0.1747524E+02 -0.1437127E+01
       1.319        1.130        0.000        0.000  1  0.2446795E+02  0.3242595E+02  0.2065303E+02  0.1311994E+02
       1.319        1.193        0.000        0.000  1  0.3024638E+02  0.4871066E+02  0.1995844E+02  0.2272674E+02
       1.319        1.256        0.000        0.000  1  0.2614292E+02  0.4109437E+02  0.1970203E+02  0.1718377E+02
       1.319        1.319        0.000        0.000  1  0.1355088E+02  0.6034085E+02  0.6705505E+01  0.1177550E+02
       1.382        0.063        0.000        0.000  1  0.2130735E+02 -0.1621002E+03 -0.2027597E+02 -0.6548895E+01
       1.382        0.126        0.000        0.000  1  0.1554476E+02 -0.9767022E+02 -0.2074778E+01 -0.1540568E+02
       1.382        0.188        0.000        0.000  1  0.7664094E+01  0.6535271E+02  0.3196165E+01  0.6965836E+01
       1.382        0.251        0.000        0.000  1  0.4642835E+02  0.1480296E+03 -0.3938619E+02  0.2458292E+02
       1.382        0.314        0.000        0.000  1  0.1040130E+02 -0.1457827E+03 -0.8600951E+01 -0.5848988E+01
       1.382        0.377        0.000        0.000  1  0.1511608E+02 -0.1203087E+03 -0.7628451E+01 -0.1305000E+02
       1.382        0.440        0.000        0.000  1  0.1952088E+02 -0.1074317E+03 -0.5847841E+01 -0.1862438E+02
       1.382        0.502        0.000        0.000  1  0.2390015E+02 -0.1020495E+03 -0.4989317E+01 -0.2337357E+02
