      w1[rad/s]       w2[rad/s] beta1[deg] beta2[deg] DOF MOD(QTF)/rho/g PHASE(QTF)[deg] Re(QTF)/rho/g Im(QTF)/rho/g
       1.256        0.942        0.000        0.000  1  0.8361487E+01  0.1713183E+03 -0.8265682E+01  0.1262130E+01
       1.256        1.005        0.000        0.000  1  0.4008593E+01  0.1267407E+03 -0.2397916E+01  0.3212291E+01
       1.256        1.068        0.000        0.000  1  0.1024478E+02  0.7437067E+02  0.2760072E+01  0.9865973E+01
       1.256        1.130        0.000        0.000  1  0.1496903E+02  0.5238850E+02  0.9135659E+01  0.1185797E+02
       1.256        1.193        0.000        0.000  1  0.1148258E+02  0.3241368E+02  0.9693597E+01  0.6154992E+01
       1.256        1.256        0.000        0.000  1  0.9321853E+01  0.0000000E+00  0.9321853E+01  0.0000000E+00
       1.319        0.063        0.000        0.000  1  0.3977568E+02 -0.3184215E+02  0.3378963E+02 -0.2098489E+02
       1.319        0.126        0.000        0.000  1  0.2640021E+02 -0.6697971E+02  0.1032399E+02 -0.2429787E+02
       1.319        0.188        0.000        0.000  1  0.3233131E+01  0.1794592E+03 -0.3232987E+01  0.3051843E-01
       1.319        0.251        0.000        0.000  1  0.3394418E+02 -0.1102862E+03 -0.1176875E+02 -0.3183871E+02
       1.319        0.314        0.000        0.000  1  0.1015341E+02 -0.7411069E+02  0.2779796E+01 -0.9765470E+01
       1.319        0.377        0.000        0.000  1  0.9303631E+01 -0.4883027E+02  0.6124504E+01 -0.7003427E+01
       1.319        0.440        0.000        0.000  1  0.7796535E+01 -0.4026407E+02  0.5949331E+01 -0.5038989E+01
       1.319        0.502        0.000        0.000  1  0.6663835E+01 -0.1346138E+02  0.6480760E+01 -0.1551274E+01
       1.319        0.565        0.000        0.000  1  0.6666342E+01  0.5105021E+01  0.6639899E+01  0.5931816E+00
       1.319        0.628        0.000        0.000  1  0.4632396E+01  0.1117173E+02  0.4544616E+01  0.8975282E+00
       1.319        0.691        0.000        0.000  1  0.1386232E+01  0.1368457E+03 -0.1011276E+01  0.9481340E+00
       1.319        0.754        0.000        0.000  1  0.7680732E+01  0.1652787E+03 -0.7428598E+01  0.1951812E+01
       1.319        0.816        0.000        0.000  1  0.1250301E+02  0.1692536E+03 -0.1228373E+02  0.2331331E+01
       1.319        0.879        0.000        0.000  1  0.1522986E+02  0.1770918E+03 -0.1521024E+02  0.7726913E+00
       1.319        0.942        0.000        0.000  1  0.1710795E+02 -0.1785060E+03 -0.1710213E+02 -0.4460288E+00
       1.319        1.005        0.000        0.000  1  0.1745824E+02  0.1692898E+03 -0.1715412E+02  0.3244452E+01
       1.319        1.068        0.000        0.000  1  0.1620002E+02  0.1349216E+03 -0.1143945E+02  0.1147082E+02
       1.319        1.130        0.000        0.000  1  0.1471841E+02  0.9827570E+02 -0.2118517E+01  0.1456514E+02
       1.319        1.193        0.000        0.000  1  0.1210536E+02  0.7819370E+02  0.2476800E+01  0.1184927E+02
       1.319        1.256        0.000        0.000  1  0.9470848E+01  0.3744175E+02  0.7519587E+01  0.5757845E+01
       1.319        1.319        0.000        0.000  1  0.1223610E+02  0.0000000E+00  0.1223610E+02  0.0000000E+00
       1.382        0.063        0.000        0.000  1  0.2184633E+02 -0.3623850E+02  0.1762045E+02 -0.1291441E+02
       1.382        0.126        0.000        0.000  1  0.1596262E+02 -0.6296003E+02  0.7256798E+01 -0.1421774E+02
       1.382        0.188        0.000        0.000  1  0.1124752E+02 -0.1242403E+03 -0.6328585E+01 -0.9298162E+01
       1.382        0.251        0.000        0.000  1  0.4008027E+02 -0.8920592E+02  0.5554609E+00 -0.4007642E+02
       1.382        0.314        0.000        0.000  1  0.1145128E+02 -0.6711105E+02  0.4453932E+01 -0.1054961E+02
       1.382        0.377        0.000        0.000  1  0.9714804E+01 -0.3886425E+02  0.7564284E+01 -0.6095820E+01
       1.382        0.440        0.000        0.000  1  0.1399137E+02 -0.2532870E+02  0.1264635E+02 -0.5985656E+01
       1.382        0.502        0.000        0.000  1  0.1548176E+02 -0.1922622E+02  0.1461827E+02 -0.5098125E+01
       1.382        0.565        0.000        0.000  1  0.1711102E+02 -0.1127173E+02  0.1678097E+02 -0.3344558E+01
       1.382        0.628        0.000        0.000  1  0.1782446E+02 -0.8097817E+01  0.1764674E+02 -0.2510817E+01
